SN,Ticker,High,Low,Close
0,AAMC,17.149999618530273,16.979999542236328,16.979999542236328
1,AAU,0.5400000214576721,0.5299999713897705,0.5299999713897705
2,ACU,42.400001525878906,41.52000045776367,41.90999984741211
3,ACY,12.680000305175781,11.90999984741211,12.539999961853027
4,AE,28.049999237060547,27.559999465942383,28.049999237060547
5,AEF,9.180000305175781,9.0600004196167,9.15999984741211
6,AGE,1.5390000343322754,1.3600000143051147,1.4500000476837158
7,AIM,2.130000114440918,2.059999942779541,2.130000114440918
8,AINC,27.139999389648438,24.219999313354492,24.989999771118164
9,AIRI,1.25,1.2100000381469727,1.2400000095367432
10,AMBO,2.2100000381469727,2.1500000953674316,2.190000057220459
11,AMPE,1.7799999713897705,1.7100000381469727,1.75
12,AMS,3.549999952316284,3.059999942779541,3.130000114440918
13,ANVS,67.30000305175781,60.68000030517578,63.97999954223633
14,APT,8.180000305175781,7.869999885559082,7.989999771118164
15,ARMP,4.130000114440918,4.03000020980835,4.039999961853027
16,ASM,1.3300000429153442,1.2799999713897705,1.2899999618530273
17,ASXC,3.0999999046325684,2.740000009536743,2.990000009536743
18,ATNM,8.609999656677246,8.260000228881836,8.300000190734863
19,AUMN,0.7300000190734863,0.7099999785423279,0.7200000286102295
20,AWX,4.53000020980835,4.340000152587891,4.440000057220459
21,AXU,2.9800000190734863,2.890000104904175,2.950000047683716
22,BATL,12.859999656677246,12.300000190734863,12.510000228881836
23,BCV,31.600000381469727,30.899999618530273,31.280000686645508
24,BDL,36.619998931884766,29.68000030517578,35.5
25,BDR,1.3600000143051147,1.2400000095367432,1.340000033378601
26,BGI,3.4000000953674316,2.9100000858306885,3.4000000953674316
27,BHB,30.469999313354492,29.8799991607666,29.969999313354492
28,BIOX,14.5600004196167,14.083000183105469,14.239999771118164
29,BKTI,3.809999942779541,3.2200000286102295,3.299999952316284
30,BMTX,13.359999656677246,12.8100004196167,13.300000190734863
31,BRBS,17.600000381469727,16.719999313354492,17.549999237060547
32,BRG,9.670000076293945,9.460000038146973,9.649999618530273
33,BRN,3.3399999141693115,3.200000047683716,3.25
34,BTG,5.070000171661377,4.96999979019165,5.03000020980835
35,BTN,5.070000171661377,4.96999979019165,5.0
36,BWL/A,n/a,n/a,n/a
37,CANF,2.119999885559082,2.059999942779541,2.0899999141693115
38,CCF,104.9800033569336,102.16000366210938,102.22000122070312
39,CDOR,4.71999979019165,4.550000190734863,4.679999828338623
40,CEI,0.6800000071525574,0.6600000262260437,0.6700000166893005
41,CET,42.36000061035156,41.5099983215332,42.16999816894531
42,CEV,13.720000267028809,13.609999656677246,13.619999885559082
43,CHAQ,10.100000381469727,10.015000343322754,10.015000343322754
44,CHFW,9.890000343322754,9.887999534606934,9.890000343322754
45,CIK,3.5999999046325684,3.5299999713897705,3.549999952316284
46,CIX,21.510000228881836,20.0,20.649999618530273
47,CKX,13.225000381469727,13.225000381469727,13.225000381469727
48,CLM,11.609999656677246,11.510000228881836,11.609999656677246
49,CMCL,14.65999984741211,14.3100004196167,14.34000015258789
50,CMT,13.0,12.720000267028809,12.720000267028809
51,COHN,23.299999237060547,22.270000457763672,22.530000686645508
52,CPHI,0.8199999928474426,0.699999988079071,0.75
53,CQP,42.2400016784668,41.900001525878906,41.939998626708984
54,CRF,11.329999923706055,11.229999542236328,11.25
55,CTEK,1.809999942779541,1.7300000190734863,1.809999942779541
56,CVM,25.549999237060547,24.0,24.719999313354492
57,CVR,26.420000076293945,25.899999618530273,25.899999618530273
58,CVU,3.8399999141693115,3.7100000381469727,3.8399999141693115
59,DHY,2.5299999713897705,2.509999990463257,2.5199999809265137
60,DIT,137.0,131.5,134.0
61,DLA,30.809999465942383,30.260000228881836,30.40999984741211
62,DMF,9.220000267028809,9.15999984741211,9.15999984741211
63,DNN,1.3899999856948853,1.2300000190734863,1.3700000047683716
64,DPW,2.8399999141693115,2.7200000286102295,2.740000009536743
65,DSS,2.9100000858306885,2.8499999046325684,2.869999885559082
66,DXF,1.659999966621399,1.5800000429153442,1.6100000143051147
67,DXR,13.460000038146973,9.25,13.149999618530273
68,EAD,8.829999923706055,8.770000457763672,8.789999961853027
69,ECF,14.260000228881836,14.050000190734863,14.109999656677246
70,EIM,13.649999618530273,13.569999694824219,13.619999885559082
71,ELA,5.389999866485596,4.980000019073486,5.119999885559082
72,ELLO,28.940000534057617,28.209999084472656,28.40999984741211
73,ELMD,11.09000015258789,10.5,10.9399995803833
74,EMAN,3.8399999141693115,3.430000066757202,3.569999933242798
75,EMX,3.4700000286102295,3.4000000953674316,3.430000066757202
76,ENSV,1.4900000095367432,1.3700000047683716,1.4700000286102295
77,ENX,12.850000381469727,12.770000457763672,12.800000190734863
78,EPM,4.429999828338623,4.09499979019165,4.400000095367432
79,EQX,9.055000305175781,8.850000381469727,8.930000305175781
80,ERC,13.09000015258789,12.989999771118164,13.0
81,ERH,14.289999961853027,14.109999656677246,14.289999961853027
82,ESP,15.020000457763672,14.930000305175781,14.949999809265137
83,EVBN,38.380001068115234,37.720001220703125,38.029998779296875
84,EVI,31.31999969482422,29.780000686645508,29.780000686645508
85,EVM,11.869999885559082,11.819999694824219,11.850000381469727
86,EVV,13.050000190734863,13.0,13.010000228881836
87,EVY,15.050000190734863,15.050000190734863,15.050000190734863
88,EXN,2.859999895095825,2.7799999713897705,2.8499999046325684
89,FAX,4.340000152587891,4.300000190734863,4.320000171661377
90,FCO,8.699999809265137,8.369999885559082,8.5
91,FEN,14.630000114440918,14.4399995803833,14.550000190734863
